flag,vtuber_name,platform,platform_uid,follower
0,菜菜姐莎疯了,bilibili,677744233,521952
0,Bison仓鼠,bilibili,136107,519614
0,虚拟区运营专员_Official,bilibili,441666939,518890
0,还有醒着的么,bilibili,2100679,508838
0,本气黑猫,bilibili,38829,508785
0,kaka新星,bilibili,1998383382,508705
0,塞拉菲娜_Serafina,bilibili,1025491703,502618
0,子言姐姐,bilibili,293917,499619
0,伊万_iiivan,bilibili,510047,495479
0,虚拟次元计划,bilibili,5563350,495355
0,葛叶,bilibili,434563422,491144
0,陈玺颜,bilibili,3493282111818202,490881
0,Ruriko琉璃子,bilibili,47441,489983
0,浅川玉乃,bilibili,1927279531,489003
0,塔克,bilibili,9066351,483078
0,小凌漆漆,bilibili,436197297,480526
0,星粥Kayuu,bilibili,19565962,478881
0,扇宝,bilibili,698438232,472992
0,芝恩㱏,bilibili,475118489,467531
0,咖喱瓦斯,bilibili,504435510,466678
0,瀬兎一也_Official,bilibili,1006140314,465201
0,花谱,bilibili,488970166,457828
0,新科娘,bilibili,451066708,456092
0,虚环,bilibili,320070259,455923
0,桥桥Erio,bilibili,33623955,454743
0,是姬拉Kira,bilibili,180485916,453396
0,华硕天选官方UP,bilibili,471130755,447718
0,喵波菈,bilibili,296880903,445778
0,lz鹿子,bilibili,26541399,440823
0,花丸晴琉,bilibili,441381282,440627
0,薇拉Vera-Official,bilibili,532791,439254
0,雪绘,bilibili,56748733,437423
0,夏色祭,bilibili,336731767,433085
0,甜夕sweet,bilibili,526729810,431834
0,兔柔Tutu,bilibili,3493106661985112,429963
0,夜王莉莉丝,bilibili,49922172,427016
0,难道越越不可爱,bilibili,7233069,425271
0,有栖マナの黑白尾协会,bilibili,13397992,424799
0,桃姆Q吃手手,bilibili,1823500310,421620
0,露珀塔_Ruperta,bilibili,2100944625,420580
0,宝钟玛琳,bilibili,454955503,420038
0,猫宫日向,bilibili,291296062,416646
0,萝尔露,bilibili,3546612229998884,414986
0,叶,bilibili,434563934,414368
0,帕里,bilibili,1576121,413961
0,五月织姬ctsu,bilibili,441952268,413634
0,犬山哥,bilibili,12362451,411783
0,皮皮果er,bilibili,390254031,408828
0,友利Mori,bilibili,279704683,408691
0,不知原深,bilibili,1184238527,407808
0,鱿米milai,bilibili,1641720127,407152
0,小铃久绘Official,bilibili,1875094289,404829
0,猫大可,bilibili,139905,401463
0,星罗月兔,bilibili,2828592,399973
0,plave,bilibili,3493141629896727,397925
0,小恶魔channel,bilibili,6483727,395841
0,花花Haya,bilibili,269415357,394297
0,卡绒_Charon,bilibili,3546896373123505,388521
0,珈乐,bilibili,351609538,386888
0,红魔姬,bilibili,427487966,386299
0,永恒娘Official,bilibili,1377212676,385704
0,まこと,bilibili,472135480,385513
0,步玎Pudding,bilibili,416622817,385465
0,Yommyko,bilibili,14272337,384730
0,绯赤艾莉欧,bilibili,407106379,384693
0,猫不吃芒果め,bilibili,14198063,384513
0,田中姬铃木雏,bilibili,296909317,383254
0,木糖纯,bilibili,54191665,378377
0,酒酒井アンリ,bilibili,6640131,377388
0,VirtuaReal,bilibili,413748120,376232
0,杜松子_Gin,bilibili,471460273,374883
0,MaNameBin,bilibili,1859647139,374079
0,天使猫猫酱,bilibili,443940499,367343
0,茭白柒,bilibili,35565205,366737
0,凤小七seven,bilibili,321650277,366013
0,早凉,bilibili,518817,365701
0,卡米莉娅睡不醒ovo,bilibili,3493078312683628,365116
0,带袋浣熊,bilibili,296683456,364797
0,罗塞菈,bilibili,3493286014618492,364694
0,ZMI紫米,bilibili,14829832,364550
0,小柔Channel,bilibili,1734978373,363143
0,物述有栖,bilibili,434565011,362688
0,异世界情绪,bilibili,488978908,360744
0,抓一只夏北,bilibili,3546724526196739,354387
0,美月もも,bilibili,2073012767,354290
0,就叫一只猫qwq,bilibili,645966405,352986
0,淩钰Official,bilibili,38271760,349154
0,A-SOUL,bilibili,703007996,347560
0,兮子cc,bilibili,194326389,347113
1,恬豆发芽了,bilibili,1660392980,345997
0,P丸様,bilibili,569885690,341115
0,疾風醬,bilibili,113711,340662
0,凉咕月沙,bilibili,128912828,337465
0,古堡龙姬,bilibili,686201061,336271
0,Afaer-展麟Finn,bilibili,1259447274,334607
0,本茶茶喵,bilibili,3546678808283532,333196
0,怠惰,bilibili,1070733875,333092
0,小紫才没有摸鱼,bilibili,237140787,332948
0,可愛的島風,bilibili,14248896,332482
0,猫雷NyaRu_Official,bilibili,697091119,331248
0,红晓音,bilibili,899804,331242
0,切茜娅,bilibili,632960,330512
0,楚天明c,bilibili,280135728,327370
0,东爱璃Lovely,bilibili,3821157,325704
0,白水Jimmy,bilibili,3546635395139954,324979
0,小舞,bilibili,264161,323714
0,夏诺雅,bilibili,1612112,322623
0,银杏Kyou,bilibili,1344926320,318425
0,Maria_M_Official,bilibili,1217057066,317127
0,希月Kitzuki,bilibili,591892279,316559
0,不眠星辰official,bilibili,365188473,316272
0,白夜雨落,bilibili,8923428,315655
0,你的可樱已上线,bilibili,720964,315372
0,夢冬oTo,bilibili,353708919,314852
0,天天Ame,bilibili,1950721001,313970
0,Vox的家族部落,bilibili,39642757,313373
0,勺,bilibili,666726801,313094
0,圆圆小石头,bilibili,358629230,309880
0,乙女音,bilibili,406805563,309562
0,Neo,bilibili,9404404,308269
0,汤圆四水,bilibili,503492188,307374
0,阿久_Aku,bilibili,3494351384611564,305626
0,凛·阿格雷阿斯,bilibili,2650919,302909
0,榛葉nami,bilibili,1802392,301536
0,香取绮罗_kira,bilibili,574317507,299932
0,麻呜Meow,bilibili,3493075871598759,299647
0,池年,bilibili,2341174,298567
0,舒三妈,bilibili,6853766,297125
0,杜铂雷Dobre,bilibili,1294678093,296770
0,小小约yoo,bilibili,1359949418,294254
0,星间泉channel,bilibili,1688280199,290516
0,赤井心,bilibili,339567211,290288
0,Hololive,bilibili,286700005,290262
1,明前奶绿,bilibili,2132180406,289586
0,眠特Mint,bilibili,1202416628,289341
0,禅眠,bilibili,1519134,288576
0,你的苏暖,bilibili,2255740,286913
0,天占milo_Official,bilibili,3537117403679540,286378
0,鹿野灸,bilibili,5659864,284467
0,激辣味噌,bilibili,193558681,284158
0,垚垚Yo-yo,bilibili,3546858230123108,283526
0,诺拉Nora_Heitis,bilibili,650663945,283508
0,路希维德Wiede,bilibili,2006452883,281381
0,Shizukou,bilibili,1042854135,279631
0,白茶酱酱w,bilibili,2064055063,277349
0,樋口枫,bilibili,410455162,277052
0,新月岚_Official,bilibili,483419193,275960
0,樱咲奈央_Official,bilibili,1880188304,273851
0,有棵里里,bilibili,12939237,273271
0,早椰恋恋,bilibili,80000000,272953
0,江夫人_KWKmia,bilibili,3493075143887555,272585
0,薄荷Miint,bilibili,3493076263766277,272261
0,QQ星开学了,bilibili,626369036,272015
0,奈奈莉娅,bilibili,489146840,271758
0,SmokeSakuya,bilibili,17832530,271503
0,紗耶_sayako,bilibili,385281102,270676
0,萌花Moeka,bilibili,3546933324941477,270177
0,MizunoAki,bilibili,3493108312443727,268373
0,轩喵与砂奈,bilibili,27231887,268228
0,星野怜Official,bilibili,176135235,267977
0,星汐Seki,bilibili,51030552,267970
0,说说Crystal,bilibili,283886865,265702
0,古守ちゆ,bilibili,2299184,265309
0,东野凹,bilibili,121487111,264337
0,仁子RENZ1,bilibili,3546716517173570,263811
0,米哦,bilibili,1352646,262952
0,Fulgur-Official,bilibili,1281805827,262595
0,砂糖星织,bilibili,1495003,259411
0,二米明子,bilibili,2634922,258962
0,恩骨,bilibili,26413405,258729
0,熊守夕子,bilibili,7781862,255956
0,艾莉亚airi,bilibili,37906403,255082
0,幸运花花XD,bilibili,22639672,253313
0,话梅糖_Mei,bilibili,3493264923560048,252521
0,琉绮,bilibili,420249427,252210
0,木子喵neko,bilibili,27735697,251873
0,美少女晴晴晴子,bilibili,1099371313,251089
0,勾檀Mayumi,bilibili,690608693,250868
0,笹木咲,bilibili,436596839,250684
0,迷路的牙刷,bilibili,113791,249745
0,鼠标Office,bilibili,13315327,248288
0,战斗吧歌姬,bilibili,364225566,247946
0,伊吹小秋,bilibili,448823,247766
0,天曰小雏Official,bilibili,2007781080,247551
0,艾因,bilibili,421267475,247547
0,本间向日葵,bilibili,403928672,246725
0,白雪艾莉娅_Official,bilibili,1096223397,246250
0,梦乃栞,bilibili,372984197,245482
0,Shu的香蕉种植园,bilibili,1328491215,245052
0,天音マリー,bilibili,1801527765,244975
0,伊莉丝Iris,bilibili,3494355505514666,244911
0,Mysta的狐狸侦探事务所,bilibili,1976789987,243218
0,雪霏岚岚,bilibili,78201,242881
0,明石缪,bilibili,3546744333798052,242811
1,帅比笙歌超可爱OvO,bilibili,15641218,242228
0,空空_KonKon,bilibili,302926,241000
0,小鳥遊杏子,bilibili,1069108539,240988
0,心斎桥オクト,bilibili,17492464,239627
0,RO姬,bilibili,3494357252442916,239094
0,dodo_Official,bilibili,1855519979,239009
0,唐九夏,bilibili,1219196749,238759
0,茶冷,bilibili,741520,238087
0,软软riu,bilibili,504140200,237236
0,羽咲らびOfficial,bilibili,396316042,236788
0,百鬼绫目,bilibili,389858027,235911
0,高槻律,bilibili,6055289,235349
0,温之九,bilibili,58485079,235300
0,Afaer-吕和今Asota,bilibili,3461569182698067,234440
0,果糖含量,bilibili,181998984,234253
0,椎名菜羽,bilibili,623441612,233983
0,狸白铃萌,bilibili,3494379087989284,233446
0,BaoVTuber,bilibili,1458008883,233140
0,不是Av的Ay君,bilibili,12048009,232489
0,Yu酱,bilibili,3032688,231476
0,风吟蝶_Channel,bilibili,8171802,230455
0,丝茉茉i,bilibili,27564630,230318
0,砂纸大魔王,bilibili,1524009,230018
0,牧牧川,bilibili,4731411,227928
0,沐霂是MUMU呀,bilibili,1878154667,227888
0,蝶太,bilibili,1697694,227679
0,早铃,bilibili,3938351,226013
0,默默,bilibili,308688486,223416
0,吃肉包的怂鼠,bilibili,24957521,223373
0,輝夜月,bilibili,265224956,223294
0,岱川Doris,bilibili,1643484295,222920
0,ElevenOfficial_,bilibili,1639389144,222730
0,召唤师yami,bilibili,487902,222581
0,羊腿umer,bilibili,22158819,222384
0,鹤祁_Official,bilibili,2878144,221413
0,Luca的Augustus饲养所,bilibili,1620495323,220889
0,万拓普TOP,bilibili,2072717192,219736
0,池奈伶rei,bilibili,92598618,219673
0,帅冷冷QuQ,bilibili,10955537,219316
0,混沌之神-最终虚妄,bilibili,85816940,218744
0,白雪眠,bilibili,2081318489,217165
0,橘柠院,bilibili,314993,216982
0,小卿黛,bilibili,3537117735029050,216760
0,伊莎蓓尔lsabel,bilibili,11137181,215172
0,Kazimas,bilibili,23506535,214686
0,MerryOfficial,bilibili,1570624336,214666
0,叶崎花火,bilibili,164867520,213203
0,梨安不迷路,bilibili,1900141897,212801
0,宇希哲丶,bilibili,269063537,212400
0,桃星,bilibili,690608704,211515
0,咪茉Mimo_,bilibili,3546599177324843,211323
0,兔田佩克拉,bilibili,443305053,211207
0,小天才陌比,bilibili,651509545,211072
0,喵呜Miwuu,bilibili,29221248,207430
0,murasakihiroshi,bilibili,2093138472,205769
0,鈴宮鈴,bilibili,480432362,205553
0,乞儿酥了咩,bilibili,24052681,204844
0,琴吹夢,bilibili,442426299,204614
0,草莓猫Taffy,bilibili,1210816252,204522
0,又一充电中,bilibili,1217754423,204521
0,理想ideal,bilibili,583235899,203675
0,wuyikoei,bilibili,1472906636,202225
0,江二六wan,bilibili,1112477549,202087
0,加加Official,bilibili,1506609,201362
0,白灯,bilibili,8353198,200918
0,王稀饭-,bilibili,36459988,200149
0,寿司_Official,bilibili,3493266456578574,199954
0,机智的孙工,bilibili,824967,199950
0,星野饼美,bilibili,82389,199907
0,不举萌栗,bilibili,3570093,199459
0,星奈铃-官方WACTOR,bilibili,1089059487,199101
0,鹭仔想喝冰阔落,bilibili,597823619,198923
0,铃音Suzune,bilibili,39267739,198858
0,病院坂Rei,bilibili,1041474702,198632
0,綾奈奈奈,bilibili,186463,198369
0,Uki_Official,bilibili,1512759879,198025
0,内德维德,bilibili,90873,196230
0,莫里亚加米,bilibili,2778044,195440
0,山椒阿露波Arpa,bilibili,1323227037,195245
0,伊莫可,bilibili,3546663811549900,194690
0,rurudo,bilibili,3546393616582807,194603
0,彼岸霜滢Eliro,bilibili,21374533,194348
0,日寄郁,bilibili,1319038464,193997
0,栗花澪コMIO,bilibili,84108910,193342
0,呆呆不吃喵,bilibili,3493258189605288,192414
0,魔法少年电池er,bilibili,358085156,191431
0,美波七海,bilibili,692283831,190794
0,橙花hana,bilibili,625968363,190637
0,柯暮卿,bilibili,9923775,189680
0,Enna的天堂唱诗班,bilibili,489306359,189372
0,可妮Koni_Official,bilibili,1372936974,189340
0,猫姫琥珀,bilibili,503801557,189223
0,狸酱lino,bilibili,3461578707962799,189211
0,温斓Vanna,bilibili,3493275608549942,188710
0,乌拉拉,bilibili,610390,187925
0,泠鸢yousa创作组官方号,bilibili,434021034,187444
0,污喵污喵哒,bilibili,8041302,187427
0,录音姬阿童木,bilibili,1595005,187334
0,酥壳Sarika,bilibili,44062985,186521
0,橙子miu,bilibili,13089665,186017
0,白雪みしろ,bilibili,405981431,185891
0,Afaer-伊梦Eligo,bilibili,2086914019,184919
0,尤格Yog,bilibili,690608709,184722
0,しらたまOfficial,bilibili,1296113267,184660
0,Afaer-林亚Raenia,bilibili,504822817,184529
